composer,title,split,performer,model,recording,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_kor_corr_127,bass_kor_corr_127,ratio_kor_corr_127
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,maestro,0.8697,0.6448,0.6256,0.4937,0.4738,0.4923
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,maestro,0.2309,0.2394,0.3855,0.2309,0.2394,0.3855
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,disklavier,0.2705,0.1214,0.3084,0.2705,0.1214,0.3084
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,disklavier,0.6691,0.2883,0.366,0.3257,0.0737,0.2934
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,disklavier,0.1983,0.0845,0.1354,0.1983,0.0845,0.1354
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,maestro,0.1761,0.3407,0.2411,0.1761,0.3407,0.2411
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,maestro,0.4224,0.3083,0.4983,0.4224,0.3083,0.4983
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,maestro,0.8072,0.8331,0.7361,0.6298,0.8015,0.6381
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,disklavier,0.2681,0.1498,0.1959,0.2681,0.1498,0.1959
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,disklavier,0.4743,0.1688,0.2785,0.3107,0.1157,0.2208
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,disklavier,0.1698,0.0346,0.0823,0.1698,0.0346,0.0823
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,maestro,0.1907,0.364,0.2337,0.1907,0.364,0.2337
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,maestro,0.3173,0.231,0.348,0.3173,0.231,0.348
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,maestro,0.8709,0.852,0.7542,0.4728,0.5804,0.6117
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,disklavier,0.2552,0.0942,0.2157,0.2552,0.0942,0.2157
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,disklavier,0.6003,0.4115,0.2822,0.2937,0.1448,0.2336
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,disklavier,0.128,0.0271,0.1169,0.128,0.0271,0.1169
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,maestro,0.8678,0.7892,0.7237,0.5333,0.5273,0.6381
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,maestro,0.4176,0.2341,0.5835,0.4176,0.2341,0.5835
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,maestro,0.3095,0.2485,0.3332,0.3095,0.2485,0.3332
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,disklavier,0.2723,0.151,0.267,0.2723,0.151,0.267
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,disklavier,0.0734,0.0287,0.0557,0.0734,0.0287,0.0557
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,disklavier,0.5441,0.3092,0.24,0.3073,0.1568,0.2478
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,maestro,0.2439,0.3901,0.3153,0.2439,0.3901,0.3153
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,maestro,0.8356,0.8463,0.8146,0.4412,0.6711,0.6073
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,maestro,0.1607,0.4743,0.2117,0.1607,0.4743,0.2117
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,disklavier,0.6508,0.3845,0.4549,0.302,0.0959,0.2723
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,disklavier,0.2579,0.0811,0.2899,0.2579,0.0811,0.2899
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,disklavier,0.1236,0.0175,0.1251,0.1236,0.0175,0.1251
Beethoven,Piano_Sonatas_21-1,train,Song03M,oaf,maestro,0.2631,0.2876,0.3666,0.2631,0.2876,0.3666
Beethoven,Piano_Sonatas_21-1,train,Song03M,kong,maestro,0.6935,0.8506,0.7803,0.5117,0.7568,0.5552
Beethoven,Piano_Sonatas_21-1,train,Song03M,T5,maestro,0.2615,0.3573,0.2691,0.2615,0.3573,0.2691
Beethoven,Piano_Sonatas_21-1,train,Song03M,oaf,disklavier,0.2392,0.1168,0.2674,0.2392,0.1168,0.2674
Beethoven,Piano_Sonatas_21-1,train,Song03M,kong,disklavier,0.4132,0.2289,0.4991,0.2986,0.1092,0.3512
Beethoven,Piano_Sonatas_21-1,train,Song03M,T5,disklavier,0.0817,0.0051,0.078,0.0817,0.0051,0.078
Beethoven,Piano_Sonatas_21-1,train,SunY02M,T5,maestro,0.1823,0.3737,0.2181,0.1823,0.3737,0.2181
Beethoven,Piano_Sonatas_21-1,train,SunY02M,oaf,maestro,0.3276,0.3358,0.3403,0.3276,0.3358,0.3403
Beethoven,Piano_Sonatas_21-1,train,SunY02M,kong,maestro,0.8374,0.8761,0.8361,0.507,0.6525,0.5918
