composer,title,split,model,recording,cd_corr,cm_corr,ts_corr,reverb,snr
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.3641,0.137,-0.0249,l,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.6369,0.1747,0.2598,l,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.8134,0.2994,0.7093,l,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.3423,0.1776,-0.0928,l,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.4444,0.1653,0.0239,l,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.7759,0.2293,0.7425,l,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.3864,0.1646,-0.0918,l,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.3767,0.1761,-0.1134,l,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.5076,0.2262,0.0643,l,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.5261,0.1102,0.138,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.4822,0.1585,0.176,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.4971,0.1492,0.2588,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.5105,0.1109,0.1253,norev,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.4894,0.1026,0.1267,norev,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.4813,0.1591,0.1672,norev,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.4735,0.019,0.2034,norev,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.4965,0.0778,0.1494,norev,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.482,0.1615,0.1497,norev,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.2629,-0.0194,0.2085,norev,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.4571,0.0755,0.1518,norev,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.482,0.1641,0.146,norev,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.4873,0.1107,0.1182,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.4834,0.1585,0.1751,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.501,0.1472,0.2691,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.5283,0.1036,0.1176,s,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.4863,0.1152,0.122,s,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.4896,0.1594,0.1942,s,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.4712,0.0272,0.2058,s,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.4941,0.083,0.1689,s,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.4839,0.1617,0.1439,s,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1408,0.0221,0.102,s,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.469,0.0783,0.1981,s,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.4926,0.1584,0.1495,s,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.4986,0.0927,0.0834,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.4674,0.176,0.2577,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.4887,0.1576,0.1715,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.5136,0.0322,0.1917,m,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.4918,0.1053,0.1554,m,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.4935,0.1581,0.1749,m,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1418,-0.0547,0.0965,m,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.4452,0.0185,0.1959,m,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.4916,0.1488,0.1511,m,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1731,-0.028,0.2143,m,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.3249,-0.0701,0.1226,m,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.5071,0.2005,0.2743,m,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.5471,0.1131,0.1255,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.556,0.153,0.1547,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.5003,0.1882,0.2791,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.5186,0.0685,0.1878,l,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.497,0.1211,0.1214,l,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.4998,0.1924,0.2875,l,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.105,-0.0349,0.0435,l,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.4123,0.0319,0.1945,l,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.4885,0.141,0.2429,l,12
