composer,title,split,performer,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld
Bach,Fugue_bwv_848,train,Lou01M,kong,disklavier,0.27,-0.0918,0.0,137.0,281.0,0.6876,4.2912
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,maestro,0.1153,0.088,0.0,234.0,327.0,0.7587,3.0409
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,maestro,0.2139,0.2952,0.0,824.0,417.0,0.2303,0.0616
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,maestro,0.5007,0.2861,0.0,87.0,198.0,0.4744,0.3441
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,disklavier,0.453,-0.0974,0.0,252.0,387.0,0.6766,2.1597
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,disklavier,0.1163,0.183,0.0,568.0,1244.0,0.7451,1.9322
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,disklavier,0.4947,-0.1143,0.0,180.0,268.0,0.5543,2.252
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,maestro,0.3345,0.0781,0.0,109.0,267.0,0.0578,0.3615
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,maestro,0.0056,0.1756,0.0,1261.0,1159.0,0.3038,0.25
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,maestro,0.1276,-0.1525,0.0,194.0,325.0,0.3725,3.1067
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,disklavier,0.469,-0.0407,0.0,145.0,227.0,0.5202,1.8275
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,disklavier,0.1818,0.1426,0.0,322.0,610.0,1.3323,1.2387
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,disklavier,0.4439,0.0024,0.0,183.0,337.0,0.9954,4.6625
Bach,Fugue_bwv_848,train,SunY01M,T5,maestro,0.0929,0.0845,0.0,396.0,602.0,0.3249,0.0835
Bach,Fugue_bwv_848,train,SunY01M,oaf,maestro,0.2041,0.268,0.0,186.0,328.0,0.7285,3.8029
Bach,Fugue_bwv_848,train,SunY01M,kong,maestro,0.2101,0.2545,0.0,128.0,270.0,1.0441,0.2375
Bach,Fugue_bwv_848,train,SunY01M,kong,disklavier,0.2691,-0.1025,0.0,146.0,238.0,0.687,1.9976
Bach,Fugue_bwv_848,train,SunY01M,T5,disklavier,-0.0103,-0.1253,0.0,292.0,632.0,1.5945,1.39
Bach,Fugue_bwv_848,train,SunY01M,oaf,disklavier,0.5608,-0.1894,0.0,179.0,347.0,0.8749,4.2097
Bach,Fugue_bwv_848,train,Zhou01M,T5,maestro,0.2006,0.0109,0.0,923.0,1719.0,0.0238,0.1719
