composer,title,split,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld,reverb,snr
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0065,0.0344,0.0,6033.0,41577.0,5.0164,1.9196,m,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.1268,0.1086,0.0,6336.0,35597.0,2.7272,7.434,m,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.1833,0.1041,0.0,8630.0,246601.0,3.4741,0.923,l,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,-0.0741,0.1566,0.0,7827.0,115268.0,3.8719,1.0712,l,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.1878,0.2062,0.0,4806.0,29530.0,3.2416,7.4228,l,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0187,0.0441,0.0,8275.0,110249.0,4.2875,0.487,l,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,-0.0465,0.2558,0.0,6300.0,64099.0,2.8049,1.1476,l,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.2012,0.19,0.0,5014.0,27955.0,2.8629,7.3701,l,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.08,0.0464,0.0,5873.0,73142.0,12.5284,2.3171,l,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,-0.075,0.0663,0.0,5589.0,51402.0,2.8119,1.5517,l,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0883,0.3283,0.0,4683.0,28953.0,2.6621,7.423,l,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0868,0.0784,0.0,7211.0,108193.0,nan,2.8175,l,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0561,0.0284,0.0,5556.0,39656.0,5.7805,2.371,l,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.107,0.0972,0.0,6250.0,34382.0,2.3911,7.4417,l,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.0685,-0.0923,0.0,2453.0,10197.0,0.2387,0.7579,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0834,-0.0901,0.0,864.0,2923.0,0.2866,1.0949,norev,nonoise
