composer,title,split,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld,reverb,snr
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.2232,0.01,0.0,7211.0,108193.0,16.1617,4.828,l,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.2126,0.0644,0.0,5572.0,39656.0,8.2695,1.4288,l,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0252,0.0577,0.0,6239.0,34360.0,2.4607,3.5745,l,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0455,0.0237,0.0,2453.0,10197.0,1.2667,1.0806,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0787,0.0334,0.0,864.0,2923.0,0.7728,1.2198,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0869,0.0077,0.0,1002.0,3289.0,0.2616,3.0147,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.1014,0.0275,0.0,2350.0,12569.0,1.922,1.3136,norev,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0117,0.0102,0.0,1173.0,3755.0,0.3195,1.0504,norev,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0917,0.0097,0.0,1007.0,3348.0,0.2522,2.9266,norev,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0024,0.1141,0.0,3717.0,17217.0,2.4118,2.4778,norev,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0153,0.1203,0.0,1682.0,6272.0,1.4338,1.3316,norev,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0965,0.0002,0.0,1039.0,4156.0,0.4829,3.0289,norev,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.2054,-0.0736,0.0,3639.0,18246.0,11.2693,4.6759,norev,6
